lipid	pheno	pval	beta	std
dhCer(d18:0/22:0)	ADA2010_Cat	0.521080005872772	-0.005821897574931123	0.009071422603496132
dhCer(d18:0/24:0)	ADA2010_Cat	0.5047427275184746	0.005663503825558885	0.00848903075593843
dhCer(d18:0/24:1)	ADA2010_Cat	0.47777607178574943	0.0067017753890727255	0.009439049988201402
Cer(d16:1/16:0)	ADA2010_Cat	0.3264442320645654	-0.012217926041985988	0.012447963928942166
Cer(d16:1/18:0)	ADA2010_Cat	0.7224361394279574	0.0033115681863876735	0.00932178910373584
Cer(d16:1/20:0)	ADA2010_Cat	0.5706012058163284	0.00430002903210417	0.007580463727440776
Cer(d16:1/22:0)	ADA2010_Cat	0.1632967538992894	0.007976728178644789	0.005719990202251576
Cer(d16:1/23:0)	ADA2010_Cat	0.4264496710858946	0.005743095975015541	0.007220122458595471
Cer(d16:1/24:0)	ADA2010_Cat	0.8838123483634603	-0.0007676719941955915	0.005252448186176808
Cer(d16:1/24:1)	ADA2010_Cat	0.05852688019931455	0.01334309568458468	0.007049712182287892
Cer(d17:1/16:0)	ADA2010_Cat	0.3844790067367937	-0.009337724074715566	0.010734907063380442
Cer(d17:1/18:0)	ADA2010_Cat	0.43951022338437395	0.00735757528218086	0.009516228611733946
Cer(d17:1/20:0)	ADA2010_Cat	0.7160426353084616	-0.003706081504499673	0.010187152358474443
Cer(d17:1/22:0)	ADA2010_Cat	0.8209515113091237	0.0014935408310619916	0.00659841703840029
Cer(d17:1/23:0)	ADA2010_Cat	0.27172919678523383	0.007927146100921982	0.007210660074327851
Cer(d17:1/24:0)	ADA2010_Cat	0.8453661330380058	0.0010820006657092929	0.005547092811025252
Cer(d17:1/24:1)	ADA2010_Cat	0.13165319678729773	0.009297104500371856	0.006164472231985783
Cer(d18:1/16:0)	ADA2010_Cat	0.37415391558465094	-0.006419206252302363	0.007221516078560599
Cer(d18:1/18:0)	ADA2010_Cat	0.24121762337532301	0.008352699412620686	0.007125266727232197
Cer(d18:1/20:0)	ADA2010_Cat	0.567476580663049	0.003856005396771646	0.006742942208918824
Cer(d18:1/21:0)	ADA2010_Cat	0.21236933303110653	0.011763109171609942	0.009429808153283406
Cer(d18:1/22:0)	ADA2010_Cat	0.5140685160432132	0.003342365663916602	0.005121446328127732
Cer(d18:1/23:0)	ADA2010_Cat	0.22626729581348937	0.0068057689182210584	0.0056228876713945155
Cer(d18:1/24:0)	ADA2010_Cat	0.4045542717074381	0.004268871335376553	0.005120542472904784
Cer(d18:1/24:1)	ADA2010_Cat	0.1686580060398409	0.007739556979268425	0.005620668927304321
Cer(d18:1/26:0)	ADA2010_Cat	0.41562043993438835	-0.007925130187195178	0.00973368186651779
Cer(d18:2/16:0)	ADA2010_Cat	0.21385921877490455	-0.011727073181609343	0.009431586922391476
Cer(d18:2/18:0)	ADA2010_Cat	0.1985402155425375	0.010987251852291907	0.00854301602233154
Cer(d18:2/20:0)	ADA2010_Cat	0.5579631528819178	0.004328777381086578	0.007387509105997596
